UserId,BookId,Rating
0,12,5
0,31,0
0,52,8
0,9,0
0,192,9
0,104,0
0,31,8
0,110,0
0,92,8
0,108,1
0,83,8
1,174,7
2,86,0
3,48,0
4,128,10
5,31,0
5,52,8
5,9,0
5,2,0
6,108,0
6,2,0
7,5,10
8,2,0
9,136,6
10,175,9
11,197,0
11,183,0
11,113,0
11,21,7
11,127,8
11,186,9
11,63,0
11,150,8
11,2,2
12,54,7
13,185,0
14,178,9
15,197,0
15,109,9
16,113,0
16,2,0
17,112,0
17,8,0
18,99,0
19,182,0
20,16,0
20,189,9
21,142,0
21,133,0
21,31,0
21,95,0
21,21,0
21,199,0
21,151,0
21,93,0
21,36,10
21,59,0
21,189,0
21,135,0
21,139,0
22,26,8
23,58,7
24,61,0
25,165,0
26,22,10
27,178,7
28,179,0
29,17,5
30,42,8
31,40,7
31,113,0
31,177,4
31,163,0
31,182,5
31,2,0
32,26,0
33,31,0
34,74,0
34,82,0
34,47,9
34,28,0
34,180,0
34,148,0
34,155,0
34,105,0
34,31,0
34,55,8
34,143,0
34,76,0
34,110,0
34,94,9
34,52,8
34,91,9
34,179,0
34,96,0
34,112,0
34,144,0
34,184,0
34,92,7
34,8,0
34,111,0
34,178,0
34,127,0
34,160,0
34,151,0
34,191,0
34,93,0
34,153,0
34,186,0
34,181,0
34,163,0
34,79,0
34,2,0
34,176,0
34,77,0
35,31,7
35,52,0
35,15,7
36,169,0
37,40,10
38,129,7
38,112,0
38,57,0
38,145,0
38,63,0
39,93,9
40,119,0
40,61,0
40,8,0
40,1,0
40,192,0
40,43,0
40,63,0
40,13,0
40,170,0
40,2,0
41,85,0
42,22,8
43,20,10
43,128,10
44,178,0
45,2,0
46,165,9
47,43,0
48,83,0
49,52,0
50,182,0
51,90,8
52,176,8
53,164,0
53,70,8
53,178,8
54,164,0
54,113,6
54,56,8
54,147,0
54,116,9
54,190,0
54,127,0
54,145,0
54,153,0
55,9,0
56,192,9
57,10,6
58,116,0
59,104,0
60,6,10
60,182,8
61,5,9
62,143,3
62,6,0
63,31,7
64,110,7
65,91,9
66,143,7
67,110,8
68,28,8
69,61,5
70,143,0
71,39,0
72,69,7
73,101,0
74,62,0
75,49,7
75,22,8
76,89,8
77,59,7
78,8,6
79,87,0
79,100,9
80,11,0
81,2,0
82,82,9
82,40,0
82,60,7
83,49,9
84,28,9
85,42,8
86,31,0
86,115,0
86,19,0
86,98,0
86,164,0
86,3,0
86,103,0
86,4,0
86,110,10
86,126,10
86,134,7
87,67,0
88,101,8
89,154,0
90,62,0
90,165,6
91,57,0
92,99,0
93,173,0
94,47,8
94,113,5
94,181,8
95,105,7
96,22,8
97,94,8
98,80,9
99,122,8
100,157,10
101,40,0
101,118,7
101,57,0
101,171,0
101,73,7
101,63,0
101,9,8
101,2,0
102,62,0
102,74,0
102,4,0
102,1,0
102,122,0
102,49,0
102,146,0
103,14,0
104,108,10
105,2,9
106,51,4
107,165,0
107,8,9
107,177,0
107,152,0
108,87,0
108,158,0
108,128,7
109,81,2
109,105,0
110,18,7
111,63,8
112,74,0
112,145,0
112,160,0
112,153,9
112,9,9
113,42,8
113,87,7
113,59,8
114,15,8
115,116,7
116,8,10
117,59,8
118,123,6
119,40,9
120,144,8
120,184,10
120,174,10
120,108,0
121,2,0
122,7,4
122,15,7
122,9,0
122,79,9
123,80,0
123,81,0
123,44,0
123,76,0
123,98,0
123,65,0
123,164,0
123,87,0
123,137,0
123,70,0
123,66,0
123,120,0
123,100,0
123,169,0
123,130,0
123,67,0
123,33,0
123,56,0
123,116,0
123,175,0
123,190,0
123,8,0
123,89,0
123,171,0
123,95,0
123,26,0
123,5,0
123,48,0
123,154,0
123,122,0
123,177,0
123,49,0
123,161,8
123,151,0
